titulo,autor,editora,media_avaliacao,total_avaliacao,genero_literario,grau_popularidade
Harry Potter e a Ordem da Fênix,J.K. Rowling ,Rocco,4.6,111,suspense e mistério,Baixa
Harry Potter e a Pedra Filosofal,J.K. Rowling ,Rocco,4.6,169,suspense e mistério,Baixa
Harry Potter e a Ordem da Fênix,J.K. Rowling ,Rocco,4.6,111,suspense e mistério,Baixa
Harry Potter e a Pedra Filosofal,J.K. Rowling ,Rocco,4.6,169,suspense e mistério,Baixa
Crime e Castigo,Fiódor Dostoiévski,Martin,4.6,17,suspense e mistério,Baixa
Elizabeth & Mary,Jane Dunn,Rocco,4.6,20,suspense e mistério,Baixa
Harry Potter e a Ordem da Fênix,J.K. Rowling ,Rocco,4.6,111,suspense e mistério,Baixa
Harry Potter e a Pedra Filosofal ,J.K. Rowling ,Rocco,4.6,169,suspense e mistério,Baixa
Harry Potter e a Ordem da Fênix,J.K. Rowling ,Rocco,4.6,111,suspense e mistério,Baixa
Harry Potter e o Cálice De Fogo,J.K. Rowling ,Rocco,4.6,120,suspense e mistério,Baixa
Xógum,James Clavell,Sextante,4.6,1,suspense e mistério,Baixa
O Iluminado,Stephen King,Planeta,4.5,23,suspense e mistério,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,suspense e mistério,Baixa
Contos Góticos Russos,Nikolai Gógol,Martin,4.5,4,suspense e mistério,Baixa
A Marca de Atena,Rick Riordan,Intrínseca,4.5,29,suspense e mistério,Baixa
A Marca de Atena,Rick Riordan,Intrínseca,4.5,29,suspense e mistério,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,suspense e mistério,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,suspense e mistério,Baixa
O Jardim Esquecido,Kate Morton,Arqueiro,4.5,529,suspense e mistério,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,suspense e mistério,Baixa
Sherlock Holmes - Volume 1,Arthur Conan Doyle,HarperCollins,4.5,239,suspense e mistério,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,suspense e mistério,Baixa
"Box Coleção Agatha Christie: Hora Zero, O natal de Poirot, Treze à mesa",Agatha Christie,HarperCollins,4.5,34,suspense e mistério,Baixa
O Jardim Secreto de Eliza,Kate Morton,Rocco,4.5,529,suspense e mistério,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,suspense e mistério,Baixa
Gataca,Franck Thilliez,Intrínseca,4.4,442,suspense e mistério,Baixa
Flores Partidas,Karin Slaughter,HarperCollins,4.4,3,suspense e mistério,Baixa
Flores Partidas,Karin Slaughter,HarperCollins,4.4,3,suspense e mistério,Baixa
Box Coleção Agatha Christie,Agatha Christie,Nova,4.4,86,suspense e mistério,Baixa
No Escuro,Elizabeth Haynes,Intrínseca,4.4,3,suspense e mistério,Baixa
Box Coleção Agatha Christie,Agatha Christie,Nova,4.4,218,suspense e mistério,Baixa
Verity,Colleen Hoover,Galera,4.4,9,suspense e mistério,Baixa
Desaparecido Para Sempre,Harlan Coben,Arqueiro,4.4,6,suspense e mistério,Baixa
O Homem que Ri,Victor Hugo,Martin,4.4,115,suspense e mistério,Baixa
Frankenstein; O Médico e o Monstro; Drácula,Bram Stoker,Martin,4.4,889,suspense e mistério,Baixa
As Aventuras de Sherlock Holmes,Sir Arthur Conan Doyle,Martin,4.4,6,suspense e mistério,Baixa
A última vítima,Silmara Izidoro,AllBook,4.4,32,suspense e mistério,Baixa
As Aventuras de Sherlock Holmes,Sir Arthur Conan Doyle,Martin,4.4,6,suspense e mistério,Baixa
Cilada,Harlan Coben,Sextante,4.4,8,suspense e mistério,Baixa
Um Passo em Falso,Harlan Coben,Arqueiro,4.4,1,suspense e mistério,Baixa
Verity,Colleen Hoover,Galera,4.4,9,suspense e mistério,Baixa
A Esposa Silenciosa,Karin Slaughter,HarperCollins,4.4,100,suspense e mistério,Baixa
Julieta,Anne Fortier,Arqueiro,4.4,5,suspense e mistério,Baixa
Valiant,Laurann Dohner,Universo,4.4,1,suspense e mistério,Baixa
Inveja,J. R. Ward ,Universo,4.4,414,suspense e mistério,Baixa
Os Filhos da Tempestade,Rodrigo de Oliveira,Planeta,4.4,218,suspense e mistério,Baixa
Sniper de Elite,Scott McEwen,Universo,4.4,93,suspense e mistério,Baixa
Branco Letal,Robert Galbraith,Rocco,4.4,899,suspense e mistério,Baixa
Cilada,Harlan Coben,Arqueiro,4.4,8,suspense e mistério,Baixa
Branco Letal,Robert Galbraith,Rocco,4.4,899,suspense e mistério,Baixa
Caim e Abel,Jeffrey Archer,Sextante,4.4,646,suspense e mistério,Baixa
Julieta,Anne Fortier,"Arqueiro,",4.4,5,suspense e mistério,Baixa
Sobre Roderer,Guillermo Martínez,Planeta,4.4,8,suspense e mistério,Baixa
Quatro Estações,Stephen King,Planeta,4.4,3,suspense e mistério,Baixa
O Cemitério,Stephen King,Planeta,4.4,12,suspense e mistério,Baixa
Volta Para Casa,Harlan Coben,Arqueiro,4.4,1,suspense e mistério,Baixa
Desaparecido para Sempre,Harlan Coben,Arqueiro,4.4,6,suspense e mistério,Baixa
Custe O Que Custar,Harlan Coben,Arqueiro,4.4,124,suspense e mistério,Baixa
Desaparecido Para Sempre,Harlan Coben,Sextante,4.4,6,suspense e mistério,Baixa
Custe O Que Custar,Harlan Coben,Arqueiro,4.4,124,suspense e mistério,Baixa
Julieta,Anne Fortier,Arqueiro,4.4,5,suspense e mistério,Baixa
Fascínio,J. R. Ward ,Universo,4.4,224,suspense e mistério,Baixa
A Casa Torta,Agatha Christie,HarperCollins,4.3,4,suspense e mistério,Baixa
Armadilho,William Boyd,Rocco,4.3,6,suspense e mistério,Baixa
Assassinato no Expresso do Oriente,Agatha Christie,Nova,4.3,37,suspense e mistério,Baixa
Um Lugar Bem Longe Daqui,Delia Owens,Intrínseca,4.3,2,suspense e mistério,Baixa
Hideaway,Penelope Douglas,The,4.3,54,suspense e mistério,Baixa
A Escolha,Silmara Izidoro,AllBook,4.3,27,suspense e mistério,Baixa
Não Olhe!,FML Pepper,Valentina,4.3,5,suspense e mistério,Baixa
Coraline,Neil Gaiman,Rocco,4.3,21,suspense e mistério,Baixa
Coraline,Neil Gaiman,Intrínseca,4.3,21,suspense e mistério,Baixa
Serafina e a Capa Preta,Robert Beatty,Valentina,4.3,620,suspense e mistério,Baixa
Os Arquivos de Sherlock Holmes,Sir Arthur Conan Doyle,Martin,4.3,223,suspense e mistério,Baixa
Coraline,Neil Gaiman,Intrínseca,4.3,21,suspense e mistério,Baixa
O Desaparecimento de Stephanie Mailer,Joël Dicker,Intrínseca,4.3,1,suspense e mistério,Baixa
Minha Sombria Vanessa,Kate Elizabeth Russell,Intrínseca,4.3,2,suspense e mistério,Baixa
A Volta de Sherlock Holmes,Sir Arthur Conan Doyle,Martin,4.3,2,suspense e mistério,Baixa
Quebra de Confiança,Harlan Coben,Arqueiro,4.3,3,suspense e mistério,Baixa
Finale,Becca Fitzpatrick,Intrínseca,4.3,18,suspense e mistério,Baixa
Coraline : Graphic Novel,Neil Gaiman,Rocco,4.3,21,suspense e mistério,Baixa
A Mão de Fátima,Ildefonso Falcones,Rocco,4.3,92,suspense e mistério,Baixa
A ladeira da memória,José Geraldo Vieira,Planeta,4.3,43,suspense e mistério,Baixa
A Ladeira da Memória,José Geraldo Vieira,Edições,4.3,43,suspense e mistério,Baixa
A História Secreta,Donna Tartt,Planeta,4.3,911,suspense e mistério,Baixa
Inferno,Dan Brown,Planeta,4.3,25,suspense e mistério,Baixa
Jornada pelo Rio Mar,Eva Ibbotson,Rocco,4.3,282,suspense e mistério,Baixa
Anjos e Demônios,Dan Brown,Sextante,4.3,63,suspense e mistério,Baixa
Anjos e Demônios,Dan Brown,Sextante,4.3,63,suspense e mistério,Baixa
Síndrome de quimera,Max Mallmann,Rocco,4.3,41,suspense e mistério,Baixa
Não Há Segunda Chance,Harlan Coben,Arqueiro,4.3,851,suspense e mistério,Baixa
Assassinato no Expresso do Oriente,Agatha Christie,HarperCollins,4.3,37,suspense e mistério,Baixa
Anjos e Demônios,Dan Brown,Sextante,4.3,63,suspense e mistério,Baixa
Dentro do Espelho,Tana French,Rocco,4.3,37,suspense e mistério,Baixa
Perigosas,Sara Shepard,Rocco,4.3,1,suspense e mistério,Baixa
A Viúva Negra,Daniel Silva,HarperCollins,4.3,90,suspense e mistério,Baixa
Jogada Mortal,Harlan Coben,Arqueiro,4.3,2,suspense e mistério,Baixa
Nosferatu,Joe Hill,HarperCollins,4.3,1,suspense e mistério,Baixa
Detalhe Final,Harlan Coben,Arqueiro,4.3,1,suspense e mistério,Baixa
Inferno,Dan Brown,Arqueiro,4.3,25,suspense e mistério,Baixa
O Preço da Vitória,Harlan Coben,Arqueiro,4.3,1,suspense e mistério,Baixa
O último suspiro,Robert Bryndza,Gutenberg,4.3,739,suspense e mistério,Baixa
Inferno,Dan Brown,Arqueiro,4.3,25,suspense e mistério,Baixa
A Terra das Sombras,Meg Cabot,Record,4.3,20,suspense e mistério,Baixa
A Garota do Casaco Azul,Monica Hesse,Rocco,4.3,69,suspense e mistério,Baixa
A Terra das Sombras,Meg Cabot,Galera,4.3,20,suspense e mistério,Baixa
A Toda Prova,Harlan Coben,Arqueiro,4.3,987,suspense e mistério,Baixa
Que Falta Você Me Faz,Harlan Coben,Arqueiro,4.3,1,suspense e mistério,Baixa
Letais,Sara Shepard,Rocco,4.3,317,suspense e mistério,Baixa
Os Segredos de Ali,Sara Shepard,Rocco,4.3,393,suspense e mistério,Baixa
O uruguaio,Copi,Rocco,4.3,10,suspense e mistério,Baixa
A Promessa,Harlan Coben,Arqueiro,4.3,1,suspense e mistério,Baixa
A Grande Ilusão,Harlan Coben,Arqueiro,4.3,1,suspense e mistério,Baixa
O Inocente,Harlan Coben,Arqueiro,4.3,2,suspense e mistério,Baixa
O horror bate à porta,H. P. Lovecraft,Martin,4.3,8,suspense e mistério,Baixa
Dossiê,Arthur Conan Doyle,HarperCollins,4.3,5,suspense e mistério,Baixa
O Jardim Secreto,Frances Hodgson Burnett,HarperCollins,4.3,7,suspense e mistério,Baixa
Anjos e Demônios,Dan Brown,Arqueiro,4.3,63,suspense e mistério,Baixa
Assassinato no Expresso do Oriente,Agatha Christie,HarperCollins,4.3,37,suspense e mistério,Baixa
Quebra de Confiança,Harlan Coben,Arqueiro,4.3,3,suspense e mistério,Baixa
O Desaparecimento de Stephanie Mailer,Joël Dicker,Intrínseca,4.3,1,suspense e mistério,Baixa
A Terra das Sombras,Meg Cabot,Galera,4.3,20,suspense e mistério,Baixa
Nosferatu,Joe Hill,Arqueiro,4.3,1,suspense e mistério,Baixa
Um Estudo Em Vermelho,Sir Arthur Conan Doyle,Martin,4.3,21,suspense e mistério,Baixa
A Volta de Sherlock Holmes,Sir Arthur Conan Doyle,Martin,4.3,2,suspense e mistério,Baixa
A Escolha,Silmara Izidoro,AllBook,4.3,27,suspense e mistério,Baixa
Garota Exemplar,Gillian Flynn,Intrínseca,4.3,23,suspense e mistério,Baixa
Desejo,J. R. Ward ,Universo,4.2,621,suspense e mistério,Baixa
A Ladra,J. R. Ward ,Universo,4.2,637,suspense e mistério,Baixa
Objetos Cortantes ,Gillian Flynn,Intrínseca,4.2,13,suspense e mistério,Baixa
Caixa de Pássaros,Josh Malerman,Intrínseca,4.2,32,suspense e mistério,Baixa
O Cão dos Baskerville,Sir Arthur Conan Doyle,Martin,4.2,15,suspense e mistério,Baixa
O Vale do Terror,Sir Arthur Conan Doyle,Martin,4.2,3,suspense e mistério,Baixa
Frankenstein ou O Prometeu Moderno,Mary Shelley,Martin,4.2,14,suspense e mistério,Baixa
Deixei Você Ir,Clare Mackintosh,Intrínseca,4.2,759,suspense e mistério,Baixa
Deixei Você Ir (e-Book),Clare Mackintosh,Intrínseca,4.2,759,suspense e mistério,Baixa
Caixa de Pássaros,Josh Malerman,Intrínseca,4.2,32,suspense e mistério,Baixa
Lugar Nenhum,Neil Gaiman,Intrínseca,4.2,5,suspense e mistério,Baixa
A Vida Que Enterramos,Allen Eskens,Intrínseca,4.2,471,suspense e mistério,Baixa
A Vida Que Enterramos,Allen Eskens,Intrínseca,4.2,471,suspense e mistério,Baixa
Caixa de Pássaros: Bird Box,Josh Malerman,Intrínseca,4.2,32,suspense e mistério,Baixa
Sharp Objects: Objetos Cortantes,Gillian Flynn,Intrínseca,4.2,1,suspense e mistério,Baixa
Objetos Cortantes,Gillian Flynn,Intrínseca,4.2,13,suspense e mistério,Baixa
Bird Box: Caixa de Pássaros,Josh Malerman,Intrínseca,4.2,32,suspense e mistério,Baixa
Histórias Extraordinárias,Edgar Allan Poe,Martin,4.2,7,suspense e mistério,Baixa
O Desertor,Daniel Silva,Arqueiro,4.2,98,suspense e mistério,Baixa
Drácula,Bram Stoker,Martin,4.2,18,suspense e mistério,Baixa
A última mentira que contei,Riley Sager,Gutenberg,4.2,222,suspense e mistério,Baixa
Arrasadoras,Sara Shepard,Rocco,4.2,375,suspense e mistério,Baixa
Contos Inacabados,J. R. R. Tolkien ,HaperCollins,4.2,4,suspense e mistério,Baixa
Desaparecidas,Kristina Ohlsson,Gutenberg,4.2,176,suspense e mistério,Baixa
Sob águas escuras,Robert Bryndza,Gutenberg,4.2,1,suspense e mistério,Baixa
A mulher na janela,A.J. Finn,Arqueiro,4.2,10,suspense e mistério,Baixa
A Casa do Lago,Kate Morton,Arqueiro,4.2,491,suspense e mistério,Baixa
O Buraco da Agulha,Ken Follett,Arqueiro,4.2,2,suspense e mistério,Baixa
Ninfeias Negras,Michel Bussi,Arqueiro,4.2,1,suspense e mistério,Baixa
Apenas Um Olhar,Harlan Coben,Arqueiro,4.2,1,suspense e mistério,Baixa
Caça ao Tesouro,Sara Shepard,Rocco,4.2,208,suspense e mistério,Baixa
Refúgio,Harlan Coben,Arqueiro,4.2,2,suspense e mistério,Baixa
Uma Questão de Segundos,Harlan Coben,Arqueiro,4.2,1,suspense e mistério,Baixa
Reconstruindo Amelia,Kimberly McCreight,Arqueiro,4.2,2,suspense e mistério,Baixa
Segredos Mortais,Robert Bryndza,Gutenberg,4.2,175,suspense e mistério,Baixa
Jogos malignos,Angela Marsons,Gutenberg,4.2,191,suspense e mistério,Baixa
O Sorriso da Hiena,Gustavo Ávila,Verus,4.2,5,suspense e mistério,Baixa
Quando a luz apaga,Gustavo Ávila,Verus,4.2,274,suspense e mistério,Baixa
Imaculada,Kami Garcia,Galera,4.2,106,suspense e mistério,Baixa
Alta Tensão,Harlan Coben,Arqueiro,4.2,4,suspense e mistério,Baixa
Gritos no silêncio,Angela Marsons,Gutenberg,4.2,651,suspense e mistério,Baixa
A Outra Mulher,Daniel Silva,HarperCollins,4.2,36,suspense e mistério,Baixa
Casa de Espiões,Daniel Silva,HarperCollins,4.2,32,suspense e mistério,Baixa
Alta Tensão,Harlan Coben,Arqueiro,4.2,4,suspense e mistério,Baixa
Confie em Mim,Harlan Coben,Arqueiro,4.2,11,suspense e mistério,Baixa
Uma Fortuna Perigosa,Ken Follett,Arqueiro,4.2,523,suspense e mistério,Baixa
A Mulher Na Janela,A.J. Finn,Arqueiro,4.2,10,suspense e mistério,Baixa
A Hora das Bruxas,Anne Rice,Rocco,4.2,2,suspense e mistério,Baixa
1º a Morrer,James Patterson,Rocco,4.2,734,suspense e mistério,Baixa
Contos de Terror do Tio Montague,chris priestley,Rocco,4.2,6,suspense e mistério,Baixa
Na Própria Carne,Gillian Flynn,Rocco,4.2,13,suspense e mistério,Baixa
2ª Chance,James Patterson,Rocco,4.2,444,suspense e mistério,Baixa
A Identidade Bourne,Robert Ludlum,Rocco,4.2,613,suspense e mistério,Baixa
O Cortador de Pedras,Camilla Läckberg,Planeta,4.2,357,suspense e mistério,Baixa
Os Crimes ABC,Agatha Christie,Harper,4.2,9,suspense e mistério,Baixa
As Outras Pessoas,C.J. Tudor,Intrínseca,4.2,1,suspense e mistério,Baixa
As Outras Pessoas,C.J. Tudor,Intrínseca,4.2,1,suspense e mistério,Baixa
O Cão dos Baskervilles,Sir Arthur Conan Doyle,Universo,4.2,15,suspense e mistério,Baixa
1793,Niklas Natt och Dag,Intrínseca,4.2,156,suspense e mistério,Baixa
Arma de Vingança,Danilo Barbosa,Universo,4.2,417,suspense e mistério,Baixa
Não Conte a Ninguém,Harlan Coben,Arqueiro,4.2,19,suspense e mistério,Baixa
A Supremacia Bourne,Robert Ludlum,Rocco,4.2,237,suspense e mistério,Baixa
Por Uma Fração de Segundo,David Baldacci,Rocco,4.2,45,suspense e mistério,Baixa
3º Grau,James Patterson,Rocco,4.2,339,suspense e mistério,Baixa
A Carta Secreta,Lucinda Riley,Arqueiro,4.2,493,suspense e mistério,Baixa
Não conte a ninguém,Harlan Coben,Arqueiro,4.2,19,suspense e mistério,Baixa
Confie em Mim,Harlan Coben,Arqueiro,4.2,11,suspense e mistério,Baixa
Calafrio,Sandra Brown,Rocco,4.2,347,suspense e mistério,Baixa
Desespero,Stephen King,Planeta,4.2,26,suspense e mistério,Baixa
Caçadores de Bruxas,Raphael Draccon,Planeta,4.2,7,suspense e mistério,Baixa
Frankenstein,Mary Shelley,Editora,4.2,14,suspense e mistério,Baixa
Nona Casa,Leigh Bardugo,Editora,4.2,382,suspense e mistério,Baixa
Assassinato no expresso oriente,Agatha Christie,L&PM,4.2,15,suspense e mistério,Baixa
Ônix,Jennifer L. Armentrout,Valentina,4.2,3,suspense e mistério,Baixa
A Hora das Bruxas,Anne Rice,Rocco,4.2,2,suspense e mistério,Baixa
Drácula,Bram Stoker,Excelsior,4.2,18,suspense e mistério,Baixa
O Ultimato Bourne,Robert Ludlum,Rocco,4.2,191,suspense e mistério,Baixa
A Identidade Bourne,Robert Ludlum,Rocco,4.2,613,suspense e mistério,Baixa
O Jardim das Borboletas,Dot Hutchison,Planeta,4.2,2,suspense e mistério,Baixa
A Outra Sra. Parrish,Liv Constantine,HarperCollins,4.2,1,suspense e mistério,Baixa
Esposa Perfeita,Karin Slaughter,HarperCollins,4.2,734,suspense e mistério,Baixa
Os Crimes ABC,Agatha Christie,HarperCollins,4.2,9,suspense e mistério,Baixa
Querido e Devotado Dexter,Jeff Lindsay,Planeta,4.2,3,suspense e mistério,Baixa
A Garota Desaparecida,Lisa Gardner,Gutenberg,4.1,530,suspense e mistério,Baixa
Príncipe Lestat e Os Reinos de Atlântida,Anne Rice,Rocco,4.1,95,suspense e mistério,Baixa
Sangue Frio,Robert Bryndza,Gutenberg,4.1,470,suspense e mistério,Baixa
O Código Da Vinci,Dan Brown,Arqueiro,4.1,79,suspense e mistério,Baixa
O Portador,Sophie Hannah,Rocco,4.1,9,suspense e mistério,Baixa
Origem,Dan Brown,Arqueiro,4.1,7,suspense e mistério,Baixa
Os Amadores,Sara Shepard,Rocco,4.1,56,suspense e mistério,Baixa
"Emily, The Strange: Os Dias Perdidos",Rob Reger,Galera,4.1,370,suspense e mistério,Baixa
Mate o Próximo,Federico Axat,Verus,4.1,314,suspense e mistério,Baixa
Nocte,Courtney Cole,Verus,4.1,249,suspense e mistério,Baixa
Um Cântico de Natal: e Outras Histórias,Charles Dickens,Martin,4.1,265,suspense e mistério,Baixa
O Signo Dos Quatro,Sir Arthur Conan Doyle,Martin,4.1,9,suspense e mistério,Baixa
Gelo Negro,Becca Fitzpatrick,Intrínseca,4.1,4,suspense e mistério,Baixa
Morte na Mesopotâmia,Agatha Christie,Nova,4.1,7,suspense e mistério,Baixa
Tudo o que nunca contei, Celeste Ng ,Intrínseca,4.1,2,suspense e mistério,Baixa
Tudo o que nunca contei, Celeste Ng ,Intrínseca,4.1,2,suspense e mistério,Baixa
Vinte mil léguas submarinas,Júlio Verne,Martin,4.1,10,suspense e mistério,Baixa
O Inverno de Frankie Machine,Don Winslow,Intrínseca,4.1,147,suspense e mistério,Baixa
O Código Da Vinci,Dan Brown,Arqueiro,4.1,79,suspense e mistério,Baixa
Letal,Sandra Brown,Rocco,4.1,109,suspense e mistério,Baixa
"Corra, Alex Cross",James Patterson,Arqueiro,4.1,325,suspense e mistério,Baixa
Confissões,Kanae Minato,Gutenberg,4.1,1,suspense e mistério,Baixa
8ª Confissão,James Patterson,Arqueiro,4.1,342,suspense e mistério,Baixa
Runner,Patrick Lee,Universo,4.1,75,suspense e mistério,Baixa
Vítimas do Silêncio,Janethe Fontes,Universo,4.1,270,suspense e mistério,Baixa
REDE DE SUSSURROS,Chandler Baker,Intrínseca,4.1,1,suspense e mistério,Baixa
Rede de Sussurros,Chandler Baker,Intrínseca,4.1,1,suspense e mistério,Baixa
Rede de Sussurros,Chandler Baker,Intrínseca,4.1,1,suspense e mistério,Baixa
Jane Precisa de Ajuda,Joy Fielding,Rocco,4.1,36,suspense e mistério,Baixa
Perguntaram-me Se Acredito Em Deus,Rubem Alves,Planeta,4.1,324,suspense e mistério,Baixa
Não Pare!,FML Pepper,Valentina,4.1,8,suspense e mistério,Baixa
Crimes em Primeiro Grau,Joseph Finder,Rocco,4.1,57,suspense e mistério,Baixa
Dexter é Delicioso,Jeff Lindsay,Planeta,4.1,1,suspense e mistério,Baixa
Alfred Hitchcock e os bastidores de Psicose,Stephen Rebello ,Intrínseca,4.1,395,suspense e mistério,Baixa
DEXTER,Jeff Lindsay,Editora,4.1,6,suspense e mistério,Baixa
Poirot Perde Uma Cliente,Agatha Christie,HarperCollins,4.1,1,suspense e mistério,Baixa
Uma Crença Silenciosa em Anjos,R. J. Ellory ,Intrínseca,4.1,880,suspense e mistério,Baixa
Dexter: A mão esquerda de Deus,Jeff Lindsay,Editora,4.1,6,suspense e mistério,Baixa
O Príncipe da Neblina,Zafón,Planeta,4.1,5,suspense e mistério,Baixa
Metrô 2033,Dmitry Glukhovsky,Planeta,4.1,594,suspense e mistério,Baixa
Gritos do Passado,Camilla Läckberg,Planeta,4.1,413,suspense e mistério,Baixa
Tudo o que nunca contei, Celeste Ng ,Intrínseca,4.1,2,suspense e mistério,Baixa
Redenção,Börge Hellström,Planeta,4.1,44,suspense e mistério,Baixa
O Símbolo Perdido,Dan Brown,Sextante,4.1,41,suspense e mistério,Baixa
O Evangelho de Sangue,James Rollins,Rocco,4.1,177,suspense e mistério,Baixa
Traiçoeiras,Sara Shepard,Rocco,4.1,810,suspense e mistério,Baixa
A Origem,Dan Brown,Arqueiro,4.1,7,suspense e mistério,Baixa
Impiedosas,Sara Shepard,Rocco,4.1,1,suspense e mistério,Baixa
Inacreditáveis,Sara Shepard,Rocco,4.1,3,suspense e mistério,Baixa
Não fale com estranhos,Harlan Coben,Editora,4.1,3,suspense e mistério,Baixa
A Síndrome E,Franck Thilliez,Intrínseca,4.1,825,suspense e mistério,Baixa
Kings of Cool,Don Winslow,Intrínseca,4.1,202,suspense e mistério,Baixa
Duplo Dexter,Jeff Lindsay,Planeta,4.1,1,suspense e mistério,Baixa
A Ilha Misteriosa,Júlio Verne,Rocco,4.1,2,suspense e mistério,Baixa
Duas Vidas Por Um Fio,Janet Evanovich,Rocco,4.1,49,suspense e mistério,Baixa
A Boa Filha,Karin Slaughter,HarperCollins,4.1,1,suspense e mistério,Baixa
A Casa Negra,Stephen King,Planeta,4.1,1,suspense e mistério,Baixa
Um Milhão de Mundos Com Você,Claudia Gray,HarperCollins,4.1,701,suspense e mistério,Baixa
Estonteantes,Sara Shepard,Rocco,4.1,500,suspense e mistério,Baixa
Quando ela se foi,Harlan Coben,Arqueiro,4.1,5,suspense e mistério,Baixa
O Símbolo Perdido,Dan Brown,Sextante,4.1,41,suspense e mistério,Baixa
O Símbolo Perdido,Dan Brown,Sextante,4.1,41,suspense e mistério,Baixa
Não Fale Com Estranhos,Harlan Coben,Arqueiro,4.1,3,suspense e mistério,Baixa
A Vingança de Mara Dyer,Michelle Hodkin,Galera,4.1,2,suspense e mistério,Baixa
